Class,.id,SYMBOL,Process.category,Description,释义,Number.of.founder.sets,Number.of.genes
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Abca1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Abca4,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Abca7,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Abca13,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Abca12,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Abca2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Abcb8,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Acaa2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Acadl,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Acadm,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Acads,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Acly,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Aco2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Acox1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Adcy6,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Adcy7,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Adcy8,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Adcy5,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Adcy4,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Adcy2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Adcy1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Adig,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Adipoq,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Adipor2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Agpat3,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Agpat4,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Aifm1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Ak2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Aldh2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Aldh1b1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Aldh1a2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Aldh1a7,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Aldh1a1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Aldh1a3,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Aldoa,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Aldoart2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Aldoart1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Angpt1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Angptl4,Development,Adipocyte development,脂肪细胞的发育,36,200
